Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;"Sup. Sembrada"
Girasol;2020/21;CORDOBA;"GENERAL ROCA";14;35;17837
Girasol;2020/21;CORDOBA;"PRESIDENTE ROQUE SAENZ PENA";14;84;11891
Maíz;2020/21;CORDOBA;"GENERAL ROCA";14;35;318500
Maíz;2020/21;CORDOBA;"PRESIDENTE ROQUE SAENZ PENA";14;84;136500
"Soja total";2020/21;CORDOBA;"GENERAL ROCA";14;35;318827
"Soja total";2020/21;CORDOBA;"PRESIDENTE ROQUE SAENZ PENA";14;84;258344
